current	min	max	0~100us	>100us

96	96	96	1	0
99	96	99	2	0
116	96	116	2	1
132	96	132	2	2
210	96	210	2	3
127	96	210	2	4
250	96	250	2	5
171	96	250	2	6
154	96	250	2	7
232	96	250	2	8
155	96	250	2	9
174	96	250	2	10
178	96	250	2	11
155	96	250	2	12
140	96	250	2	13
153	96	250	2	14
198	96	250	2	15
212	96	250	2	16
201	96	250	2	17
157	96	250	2	18
197	96	250	2	19
169	96	250	2	20
199	96	250	2	21
197	96	250	2	22
198	96	250	2	23
196	96	250	2	24
162	96	250	2	25
170	96	250	2	26
180	96	250	2	27
177	96	250	2	28
202	96	250	2	29
221	96	250	2	30
226	96	250	2	31
232	96	250	2	32
222	96	250	2	33
176	96	250	2	34
226	96	250	2	35
228	96	250	2	36
230	96	250	2	37
303	96	303	2	38
252	96	303	2	39
217	96	303	2	40
212	96	303	2	41
243	96	303	2	42
250	96	303	2	43
208	96	303	2	44
255	96	303	2	45
277	96	303	2	46
294	96	303	2	47
283	96	303	2	48
290	96	303	2	49
299	96	303	2	50
239	96	303	2	51
296	96	303	2	52
305	96	305	2	53
304	96	305	2	54
302	96	305	2	55
251	96	305	2	56
247	96	305	2	57
248	96	305	2	58
314	96	314	2	59
300	96	314	2	60
309	96	314	2	61
327	96	327	2	62
331	96	331	2	63
326	96	331	2	64
337	96	337	2	65
328	96	337	2	66
373	96	373	2	67
329	96	373	2	68
332	96	373	2	69
338	96	373	2	70
348	96	373	2	71
327	96	373	2	72
314	96	373	2	73
341	96	373	2	74
321	96	373	2	75
309	96	373	2	76
314	96	373	2	77
366	96	373	2	78
364	96	373	2	79
363	96	373	2	80
345	96	373	2	81
328	96	373	2	82
366	96	373	2	83
490	96	490	2	84
362	96	490	2	85
381	96	490	2	86
392	96	490	2	87
392	96	490	2	88
370	96	490	2	89
389	96	490	2	90
390	96	490	2	91
392	96	490	2	92
389	96	490	2	93
397	96	490	2	94
363	96	490	2	95
396	96	490	2	96
395	96	490	2	97
403	96	490	2	98
424	96	490	2	99
418	96	490	2	100
354	96	490	2	101
415	96	490	2	102
437	96	490	2	103
415	96	490	2	104
427	96	490	2	105
421	96	490	2	106
389	96	490	2	107
420	96	490	2	108
542	96	542	2	109
462	96	542	2	110
448	96	542	2	111
420	96	542	2	112
449	96	542	2	113
446	96	542	2	114
440	96	542	2	115
244	96	542	2	116
228	96	542	2	117
223	96	542	2	118
241	96	542	2	119
243	96	542	2	120
428	96	542	2	121
232	96	542	2	122
412	96	542	2	123
291	96	542	2	124
225	96	542	2	125
245	96	542	2	126
246	96	542	2	127
234	96	542	2	128
232	96	542	2	129
266	96	542	2	130
250	96	542	2	131
257	96	542	2	132
251	96	542	2	133
227	96	542	2	134
239	96	542	2	135
241	96	542	2	136
232	96	542	2	137
229	96	542	2	138
229	96	542	2	139
362	96	542	2	140
213	96	542	2	141
228	96	542	2	142
257	96	542	2	143
235	96	542	2	144
279	96	542	2	145
211	96	542	2	146
238	96	542	2	147
237	96	542	2	148
242	96	542	2	149
243	96	542	2	150
246	96	542	2	151
248	96	542	2	152
395	96	542	2	153
239	96	542	2	154
242	96	542	2	155
194	96	542	2	156
245	96	542	2	157
245	96	542	2	158
248	96	542	2	159
254	96	542	2	160
298	96	542	2	161
250	96	542	2	162
206	96	542	2	163
261	96	542	2	164
220	96	542	2	165
334	96	542	2	166
210	96	542	2	167
239	96	542	2	168
216	96	542	2	169
254	96	542	2	170
210	96	542	2	171
214	96	542	2	172
200	96	542	2	173
247	96	542	2	174
243	96	542	2	175
222	96	542	2	176
247	96	542	2	177
246	96	542	2	178
376	96	542	2	179
227	96	542	2	180
247	96	542	2	181
203	96	542	2	182
253	96	542	2	183
248	96	542	2	184
200	96	542	2	185
237	96	542	2	186
244	96	542	2	187
220	96	542	2	188
234	96	542	2	189
246	96	542	2	190
252	96	542	2	191
298	96	542	2	192
230	96	542	2	193
241	96	542	2	194
246	96	542	2	195
326	96	542	2	196
213	96	542	2	197
220	96	542	2	198
210	96	542	2	199
265	96	542	2	200
287	96	542	2	201
413	96	542	2	202
435	96	542	2	203
225	96	542	2	204
218	96	542	2	205
207	96	542	2	206
215	96	542	2	207
231	96	542	2	208
248	96	542	2	209
243	96	542	2	210
243	96	542	2	211
293	96	542	2	212
248	96	542	2	213
247	96	542	2	214
240	96	542	2	215
248	96	542	2	216
245	96	542	2	217
248	96	542	2	218
224	96	542	2	219
244	96	542	2	220
239	96	542	2	221
245	96	542	2	222
245	96	542	2	223
223	96	542	2	224
239	96	542	2	225
243	96	542	2	226
238	96	542	2	227
447	96	542	2	228
240	96	542	2	229
211	96	542	2	230
193	96	542	2	231
200	96	542	2	232
277	96	542	2	233
284	96	542	2	234
271	96	542	2	235
284	96	542	2	236
250	96	542	2	237
375	96	542	2	238
255	96	542	2	239
254	96	542	2	240
260	96	542	2	241
313	96	542	2	242
300	96	542	2	243
308	96	542	2	244
299	96	542	2	245
312	96	542	2	246
341	96	542	2	247
261	96	542	2	248
308	96	542	2	249
307	96	542	2	250
